1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
149	Emerson Electric Co.	EMR	0.146952	   60.40	-0.62	(-1.02%)
150	Electronic Arts Inc.	EA	0.141844	   122.93	0.05	(0.04%)
151	Sempra Energy	SRE	0.140792	   129.07	2.76	(2.19%)
152	SBA Communications Corp. Class A	SBAC	0.139837	   317.28	3.15	(1.00%)
153	Eaton Corp. Plc	ETN	0.138781	   84.66	-0.24	(-0.28%)
154	Ross Stores Inc.	ROST	0.13866	   97.20	0.24	(0.25%)
155	eBay Inc.	EBAY	0.137705	   45.10	-0.44	(-0.97%)
156	Phillips 66	PSX	0.137482	   78.83	0.57	(0.73%)
157	DexCom Inc.	DXCM	0.136495	   378.00	-0.31	(-0.08%)
158	General Dynamics Corporation	GD	0.136033	   147.27	0.44	(0.30%)
159	Xcel Energy Inc.	XEL	0.135056	   65.50	0.47	(0.72%)
160	General Motors Company	GM	0.128771	   26.94	1.06	(4.10%)
161	Walgreens Boots Alliance Inc	WBA	0.127299	   42.91	-0.03	(-0.07%)
162	Allstate Corporation	ALL	0.125292	   99.07	1.26	(1.29%)
163	Capital One Financial Corporation	COF	0.125207	   68.99	0.95	(1.40%)
164	O'Reilly Automotive Inc.	ORLY	0.124827	   417.60	0.36	(0.09%)
165	FedEx Corporation	FDX	0.123368	   129.71	-0.85	(-0.65%)
166	Bank of New York Mellon Corporation	BK	0.123342	   37.70	0.53	(1.43%)
167	Kinder Morgan Inc Class P	KMI	0.12109	   15.77	-0.03	(-0.19%)
168	Public Storage	PSA	0.119742	   204.77	2.03	(1.00%)
169	EOG Resources Inc.	EOG	0.117251	   51.81	0.84	(1.65%)
170	Cognizant Technology Solutions Corporation Class A	CTSH	0.11467	   52.80	-0.20	(-0.38%)
171	Constellation Brands Inc. Class A	STZ	0.114225	   173.25	0.55	(0.32%)
172	WEC Energy Group Inc	WEC	0.113857	   93.13	1.40	(1.53%)
173	Amphenol Corporation Class A	APH	0.113186	   97.73	1.17	(1.21%)
174	Dow Inc.	DOW	0.113175	   38.61	0.01	(0.03%)
175	T. Rowe Price Group	TROW	0.111953	   121.87	0.97	(0.80%)
176	HCA Healthcare Inc	HCA	0.111829	   108.83	1.93	(1.81%)
177	Verisk Analytics Inc	VRSK	0.111457	   169.38	-3.30	(-1.91%)
178	MetLife Inc.	MET	0.111283	   36.37	0.36	(1.00%)
179	Sysco Corporation	SYY	0.111207	   57.18	2.02	(3.66%)
180	MSCI Inc. Class A	MSCI	0.110362	   335.37	6.52	(1.98%)
181	IHS Markit Ltd.	INFO	0.110332	   69.92	0.46	(0.66%)
182	KLA Corporation	KLAC	0.110036	   175.00	-0.96	(-0.55%)
183	Travelers Companies Inc.	TRV	0.109432	   109.15	2.17	(2.03%)
184	Monster Beverage Corporation	MNST	0.10847	   72.75	0.84	(1.17%)
185	AutoZone Inc.	AZO	0.10815	   1138.20	-9.66	(-0.84%)
186	Valero Energy Corporation	VLO	0.108131	   66.58	-0.06	(-0.09%)
187	Agilent Technologies Inc.	A	0.10802	   89.91	1.77	(2.01%)
188	TE Connectivity Ltd.	TEL	0.10771	   84.53	3.28	(4.04%)
189	Yum! Brands Inc.	YUM	0.107566	   90.52	0.79	(0.88%)
190	Eversource Energy	ES	0.107371	   85.58	1.88	(2.25%)
191	IQVIA Holdings Inc	IQV	0.106613	   149.41	-0.11	(-0.07%)
192	Synopsys Inc.	SNPS	0.10655	   182.60	1.69	(0.93%)
193	Aflac Incorporated	AFL	0.105774	   36.97	0.50	(1.37%)
194	Alexion Pharmaceuticals Inc.	ALXN	0.105125	   116.01	-3.89	(-3.24%)
195	IDEXX Laboratories Inc.	IDXX	0.104748	   312.15	3.27	(1.06%)
196	American International Group Inc.	AIG	0.103219	   30.55	0.49	(1.63%)
197	Kroger Co.	KR	0.103153	   32.49	-0.13	(-0.40%)
